canonical_dish,plate_role,dietary_tag,allowed_slots,source_class
Jeera Raita,ACCOMPANIMENT,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Jeera Rice,STAPLE,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Jhal Muri,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Kachumber Salad,ACCOMPANIMENT,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Kadhai Paneer,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Kadhai Veg,DRY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Kadhi Pakora,DAL_PROTEIN,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Kesari Kheer,DESSERT,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Khata Mitha Kaddu,DRY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Khichdi,STAPLE,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Lobiya Dal,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Malka Masoor,DAL_PROTEIN,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Masala Aloo,DRY_SABZI,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Matar Paneer,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Mathi,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Milk,BEVERAGE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Mint Raita,ACCOMPANIMENT,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Mix Dal Amritsari,DAL_PROTEIN,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Mix Pakora,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Mix Raita,ACCOMPANIMENT,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Mix Veg,DRY_SABZI,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Moong Dal,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Moong Sabut,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Muffin,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Namak Pare,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Namkeen,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Namkeen Seviyan,SNACK,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Nutry Masala,GRAVY_SABZI,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Nutry Matar,GRAVY_SABZI,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Omelette,DAL_PROTEIN,EGGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Onion,ACCOMPANIMENT,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Palak Corn,DRY_SABZI,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Panchmail Dal,DAL_PROTEIN,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
