ifct_code,food_name,scientific_name,food_group,dietary_tag,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,fibre_g_per_100g,calcium_mg_per_100g,iron_mg_per_100g,potassium_mg_per_100g,sodium_mg_per_100g,water_g_per_100g,source_class
S009,"Prawns, small",Macrobrachium sp.,Fresh Water Fish and Shellfish,NON_VEG,70.98,13.07,0.78,0.0,0.0,67.99,0.87,224.0,77.71,82.58,IFCT_DERIVED
S010,Tiger prawns,Macrobrachium sp.,Fresh Water Fish and Shellfish,NON_VEG,67.88,14.24,0.66,0.0,0.0,57.9,0.84,149.0,80.77,83.24,IFCT_DERIVED
T001,Coconut oil,Cocos nucifera,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T002,Corn oil,Zea mays,Edible Oils and Fats,VEGETARIAN,900.09,0.0,100.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T003,Cotton seed oil,Gossypium spp.,Edible Oils and Fats,VEGETARIAN,899.91,0.0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T004,Gingelly oil,Sesamum indicum,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T005,Groundnut oil,Arachis hypogaea,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T006,Mustard oil,Brassica spp.,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T007,Palm oil,Elaeis guineensis,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T008,Rice bran oil,Oryza sativa,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T009,Safflower oil,Carthamus tinctorius,Edible Oils and Fats,VEGETARIAN,900.09,0.0,100.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T010,Safflower oil (blended),,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T011,Soyabean oil,Glycine max,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T012,Sunflower oil,Helianthus annuus,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T013,Ghee,,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
T014,Vanaspati,,Edible Oils and Fats,VEGETARIAN,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IFCT_DERIVED
