sex,reference_weight_kg,activity_level,pal,energy_kcal,protein_g,fat_g,carbohydrate_g,fibre_g,calcium_mg,iron_mg,potassium_mg,sodium_max_mg,source_id,notes
MALE,65.0,SEDENTARY,1.40,2110.0,54.0,58.6,341.6,31.7,1000.0,19.0,3500.0,2000.0,SRC_ICMR_NIN_2020,"ICMR-NIN 2020 Reference Man (65kg), Sedentary PAL 1.4"
MALE,65.0,MODERATE,1.75,2710.0,78.0,75.3,430.1,40.7,1000.0,19.0,3500.0,2000.0,SRC_ICMR_NIN_2020,"ICMR-NIN 2020 Reference Man (65kg), Moderate PAL 1.75"
MALE,65.0,HEAVY,2.20,3470.0,78.0,96.4,572.7,52.1,1000.0,19.0,3500.0,2000.0,SRC_ICMR_NIN_2020,"ICMR-NIN 2020 Reference Man (65kg), Heavy PAL 2.2"
FEMALE,55.0,SEDENTARY,1.40,1660.0,46.0,46.1,265.2,24.9,1000.0,29.0,3500.0,2000.0,SRC_ICMR_NIN_2020,"ICMR-NIN 2020 Reference Woman (55kg), Sedentary PAL 1.4, Iron 29mg"
FEMALE,55.0,MODERATE,1.75,2130.0,66.0,59.2,333.3,32.0,1000.0,29.0,3500.0,2000.0,SRC_ICMR_NIN_2020,"ICMR-NIN 2020 Reference Woman (55kg), Moderate PAL 1.75, Iron 29mg"
FEMALE,55.0,HEAVY,2.20,2720.0,66.0,75.6,444.0,40.8,1000.0,29.0,3500.0,2000.0,SRC_ICMR_NIN_2020,"ICMR-NIN 2020 Reference Woman (55kg), Heavy PAL 2.2, Iron 29mg"
